report_date,commodity,location,delivery,sale_type,basis_low,basis_high,futures_month,futures_month_high,basis_change,price_change,price_low,price_high,average,year_ago,freight
2026-08-12,Soybeans,Gulf Coast Ports,Sep¹,Bid,100.0,100.0,11,11,UNCH,UP 0.1450,12.8325,12.8325,12.8325,11.0425,CIF-B
2026-08-12,Wheat,Gulf Coast Ports,Aug²,Bid,45.0,45.0,9,9,UNCH,UP 0.2250,6.9775,6.9775,6.9775,5.4475,CIF-B
2026-08-12,Wheat,Gulf Coast Ports,Current,Bid,35.0,45.0,9,9,UNCH,UP 0.2250,6.8775,6.9775,6.9275,5.4225,CIF-B
2026-08-12,Wheat,Gulf Coast Ports,Dec,Bid,85.0,100.0,12,12,UNCH,UP 0.2150,7.5475,7.6975,7.6225,6.0825,CIF-B
2026-08-12,Wheat,Gulf Coast Ports,Nov²,Bid,85.0,100.0,12,12,UNCH,UP 0.2150,7.5475,7.6975,7.6225,6.1075,CIF-B
2026-08-12,Wheat,Gulf Coast Ports,Nov¹,Bid,80.0,100.0,12,12,UNCH,UP 0.2150,7.4975,7.6975,7.5975,6.0575,CIF-B
2026-08-12,Wheat,Gulf Coast Ports,Oct,Bid,85.0,100.0,12,12,UNCH,UP 0.2150,7.5475,7.6975,7.6225,5.9325,CIF-B
2026-08-12,Wheat,Gulf Coast Ports,Sep²,Bid,75.0,80.0,9,9,UNCH,UP 0.2250,7.2775,7.3275,7.3025,5.6225,CIF-B
2026-08-12,Wheat,Gulf Coast Ports,Sep¹,Bid,50.0,75.0,9,9,UNCH,UP 0.2250,7.0275,7.2775,7.1525,5.5725,CIF-B
2026-08-13,Corn,Gulf Coast Ports,Aug²,Bid,99.0,99.0,9,9,UNCH,DN 0.0900,5.47,5.47,5.47,,CIF-B
2026-08-13,Corn,Gulf Coast Ports,Current,Bid,97.0,99.0,9,9,UNCH,DN 0.0900,5.45,5.47,5.46,4.555,CIF-B
