Date,commodity,price_brl,unit
2026-08-07,Soybean (ESALQ/B3 Paranaguá),2419.17,BRL/MT
2026-08-10,Soybean (AgRural Paranaguá FOB),2425.0,BRL/MT
2026-08-10,Soybean (CEPEA),2290.67,BRL/MT
2026-08-10,Soybean (ESALQ/B3 Paranaguá),2416.0,BRL/MT
2026-08-11,Soybean (AgRural Paranaguá FOB),2433.33,BRL/MT
2026-08-11,Soybean (CEPEA),2291.0,BRL/MT
2026-08-11,Soybean (ESALQ/B3 Paranaguá),2414.83,BRL/MT
2026-08-12,Soybean (AgRural Paranaguá FOB),2466.67,BRL/MT
2026-08-12,Soybean (CEPEA),2320.17,BRL/MT
2026-08-12,Soybean (ESALQ/B3 Paranaguá),2439.0,BRL/MT
2026-08-13,Soybean (AgRural Paranaguá FOB),2466.67,BRL/MT
2026-08-13,Soybean (CEPEA),2333.17,BRL/MT
2026-08-13,Soybean (ESALQ/B3 Paranaguá),2449.0,BRL/MT
2026-08-14,Soybean (AgRural Paranaguá FOB),2500.0,BRL/MT
2026-08-14,Soybean (CEPEA),2352.67,BRL/MT
2026-08-14,Soybean (CONAB PR farmgate),2090.0,BRL/MT
2026-08-14,Soybean (ESALQ/B3 Paranaguá),2482.5,BRL/MT
2026-08-17,Soybean (AgRural Paranaguá FOB),2525.0,BRL/MT
2026-08-17,Soybean (CEPEA),2361.5,BRL/MT
2026-08-17,Soybean (ESALQ/B3 Paranaguá),2502.33,BRL/MT
2026-08-18,Soybean (AgRural Paranaguá FOB),2541.67,BRL/MT
2026-08-18,Soybean (CEPEA),2386.83,BRL/MT
2026-08-18,Soybean (ESALQ/B3 Paranaguá),2522.67,BRL/MT
2026-08-19,Soybean (AgRural Paranaguá FOB),2558.33,BRL/MT
2026-08-19,Soybean (CEPEA),2400.5,BRL/MT
2026-08-19,Soybean (ESALQ/B3 Paranaguá),2527.5,BRL/MT
2026-08-20,Soybean (AgRural Paranaguá FOB),2575.0,BRL/MT
2026-08-20,Soybean (CEPEA),2437.33,BRL/MT
2026-08-20,Soybean (ESALQ/B3 Paranaguá),2577.17,BRL/MT
2026-08-21,Soybean (AgRural Paranaguá FOB),2566.67,BRL/MT
2026-08-21,Soybean (CEPEA),2445.0,BRL/MT
2026-08-21,Soybean (CONAB PR farmgate),2180.0,BRL/MT
2026-08-21,Soybean (ESALQ/B3 Paranaguá),2561.33,BRL/MT
2026-08-24,Soybean (AgRural Paranaguá FOB),2566.67,BRL/MT
2026-08-24,Soybean (CEPEA),2438.5,BRL/MT
2026-08-24,Soybean (ESALQ/B3 Paranaguá),2564.33,BRL/MT
2026-08-25,Soybean (AgRural Paranaguá FOB),2558.33,BRL/MT
2026-08-25,Soybean (CEPEA),2434.67,BRL/MT
2026-08-25,Soybean (ESALQ/B3 Paranaguá),2561.67,BRL/MT
2026-08-26,Soybean (AgRural Paranaguá FOB),2625.0,BRL/MT
2026-08-26,Soybean (CEPEA),2466.67,BRL/MT
2026-08-26,Soybean (ESALQ/B3 Paranaguá),2576.17,BRL/MT
2026-08-27,Soybean (AgRural Paranaguá FOB),2641.67,BRL/MT
2026-08-27,Soybean (CEPEA),2486.83,BRL/MT
2026-08-27,Soybean (ESALQ/B3 Paranaguá),2584.17,BRL/MT
2026-08-28,Soybean (AgRural Paranaguá FOB),2700.0,BRL/MT
2026-08-28,Soybean (CEPEA),2522.0,BRL/MT
2026-08-28,Soybean (CONAB PR farmgate),2210.0,BRL/MT
2026-08-28,Soybean (ESALQ/B3 Paranaguá),2662.67,BRL/MT
2026-08-31,Soybean (AgRural Paranaguá FOB),2691.67,BRL/MT
2026-08-31,Soybean (CEPEA),2521.83,BRL/MT
2026-08-31,Soybean (ESALQ/B3 Paranaguá),2657.33,BRL/MT
2026-09-01,Soybean (AgRural Paranaguá FOB),2700.0,BRL/MT
2026-09-01,Soybean (CEPEA),2551.0,BRL/MT
2026-09-01,Soybean (ESALQ/B3 Paranaguá),2685.67,BRL/MT
2026-09-02,Soybean (AgRural Paranaguá FOB),2683.33,BRL/MT
